0,0
81,1000
161,2000
240,3000
321,4000
401,5000
480,6000
841,7000
961,8000
1080,9000
1201,10000
1321,11000
1440,12000
1561,13000
1681,14000
1800,15000
1921,16000
2041,17000
2160,18000
2281,19000
2401,20000
2520,21000
2641,22000
2761,23000
2880,24000
3001,25000
3121,26000
3240,27000
3361,28000
3481,29000
3600,30000
3721,31000
3841,32000
3960,33000
4081,34000
4201,35000
4320,36000
4441,37000
4561,38000
4680,39000
4801,40000
4921,41000
5040,42000
5161,43000
5281,44000
5400,45000
5521,46000
5641,47000
5760,48000
5881,49000
6001,50000
6120,51000
6241,52000
6361,53000
6480,54000
6601,55000
6721,56000
6840,57000
6961,58000
7081,59000
7200,60000
7321,61000
7441,62000
7560,63000
7681,64000
7801,65000
7920,66000
8041,67000
8161,68000
8280,69000
8401,70000
8521,71000
8640,72000
11681,73000
11841,74000
12000,75000
12161,76000
12321,77000
12480,78000
12641,79000
12801,80000
12960,81000
13121,82000
13281,83000
13440,84000
13601,85000
13761,86000
13920,87000
14081,88000
14241,89000
14400,90000
14561,91000
14721,92000
14880,93000
15041,94000
15201,95000
15360,96000
15521,97000
15681,98000
15840,99000
16001,100000
