3,10
5,20
7,30
9,40
11,50
13,60
15,70
17,80
19,90
21,100
22,110
49,120
53,130
57,140
61,150
65,160
69,170
73,180
77,190
81,200
85,210
88,220
93,230
97,240
101,250
105,260
109,270
113,280
117,290
121,300
125,310
129,320
132,330
137,340
141,350
145,360
149,370
153,380
157,390
161,400
165,410
169,420
173,430
176,440
181,450
185,460
189,470
193,480
197,490
201,500
205,510
209,520
213,530
217,540
220,550
225,560
229,570
233,580
237,590
241,600
245,610
249,620
253,630
257,640
261,650
264,660
269,670
273,680
277,690
281,700
285,710
289,720
293,730
297,740
301,750
305,760
308,770
313,780
317,790
321,800
325,810
329,820
333,830
337,840
341,850
345,860
349,870
352,880
357,890
361,900
365,910
369,920
373,930
377,940
381,950
385,960
389,970
393,980
396,990
401,1000
