0,0
401,1000
1201,2000
1801,3000
2401,4000
3001,5000
3601,6000
4201,7000
4801,8000
5401,9000
6001,10000
6600,11000
9601,12000
10401,13000
11201,14000
12001,15000
12801,16000
13601,17000
14401,18000
15201,19000
16001,20000
16801,21000
17600,22000
18401,23000
19201,24000
20001,25000
20801,26000
21601,27000
22401,28000
23201,29000
24001,30000
24801,31000
25601,32000
26400,33000
27201,34000
28001,35000
28801,36000
29601,37000
30401,38000
31201,39000
32001,40000
32801,41000
33601,42000
34401,43000
35200,44000
36001,45000
36801,46000
37601,47000
38401,48000
39201,49000
40001,50000
40801,51000
41601,52000
42401,53000
43201,54000
44000,55000
44801,56000
45601,57000
46401,58000
47201,59000
48001,60000
48801,61000
49601,62000
50401,63000
51201,64000
52001,65000
52800,66000
53601,67000
54401,68000
55201,69000
56001,70000
56801,71000
57601,72000
58401,73000
59201,74000
60001,75000
60801,76000
61600,77000
62401,78000
63201,79000
64001,80000
64801,81000
65601,82000
66401,83000
67201,84000
68001,85000
68801,86000
69601,87000
70400,88000
71201,89000
72001,90000
72801,91000
73601,92000
74401,93000
75201,94000
76001,95000
76801,96000
77601,97000
78401,98000
79200,99000
80001,100000
